1|Guy|Gilbert|Production Technician - WC60|1981-11-12|adventure-works\guy1|guy1@adventure-works.com|320-555-0195|M|M|1|21|30|Production|2006-01-28
2|Kevin|Brown|Marketing Assistant|1986-12-01|adventure-works\kevin0|kevin0@adventure-works.com|150-555-0189|S|M|2|42|41|Marketing|2006-08-26
3|Roberto|Tamburello|Engineering Manager|1974-06-12|adventure-works\roberto0|roberto0@adventure-works.com|212-555-0187|M|M|2|2|21|Engineering|2007-06-11
4|Rob|Walters|Senior Tool Designer|1974-07-23|adventure-works\rob0|rob0@adventure-works.com|612-555-0100|S|M|2|48|80|Tool Design|2007-07-05
5|Rob|Walters|Senior Tool Designer|1974-07-23|adventure-works\rob0|rob0@adventure-works.com|612-555-0100|S|M|2|48|80|Tool Design|2009-12-28
6|Thierry|D'Hers|Tool Designer|1959-02-26|adventure-works\thierry0|thierry0@adventure-works.com|168-555-0183|M|M|2|9|24|Tool Design|2007-07-11
7|David|Bradley|Marketing Manager|1974-10-17|adventure-works\david0|david0@adventure-works.com|913-555-0172|S|M|2|40|40|Marketing|2007-07-20
8|David|Bradley|Marketing Manager|1974-10-17|adventure-works\david0|david0@adventure-works.com|913-555-0172|S|M|2|40|40|Marketing|2009-02-12
9|JoLynn|Dobney|Production Supervisor - WC60|1955-08-16|adventure-works\jolynn0|jolynn0@adventure-works.com|903-555-0145|S|F|2|82|61|Production|2007-07-26
10|Ruth|Ellerbrock|Production Technician - WC10|1956-01-03|adventure-works\ruth0|ruth0@adventure-works.com|145-555-0130|M|F|1|83|61|Production|2007-08-06
11|Gail|Erickson|Design Engineer|1952-04-27|adventure-works\gail0|gail0@adventure-works.com|849-555-0139|M|F|2|5|22|Engineering|2007-08-06
12|Barry|Johnson|Production Technician - WC10|1955-10-25|adventure-works\barry0|barry0@adventure-works.com|206-555-0180|S|M|1|88|64|Production|2007-08-07
13|Jossef|Goldberg|Design Engineer|1958-10-09|adventure-works\jossef0|jossef0@adventure-works.com|122-555-0189|M|M|2|6|23|Engineering|2007-08-24
14|Terri|Duffy|Vice President of Engineering|1971-03-01|adventure-works\terri0|terri0@adventure-works.com|819-555-0175|S|F|2|1|20|Engineering|2007-08-31
15|Sidney|Higa|Production Technician - WC10|1956-03-30|adventure-works\sidney0|sidney0@adventure-works.com|424-555-0189|M|M|1|84|62|Production|2007-09-02
16|Taylor|Maxwell|Production Supervisor - WC50|1955-10-31|adventure-works\taylor0|taylor0@adventure-works.com|508-555-0165|M|M|2|79|59|Production|2007-09-08
17|Jeffrey|Ford|Production Technician - WC10|1956-02-09|adventure-works\jeffrey0|jeffrey0@adventure-works.com|984-555-0185|S|M|1|85|62|Production|2007-09-20
